Naziv mesta,Cena smestaja za 1 osobu za 1 nocenje (€),Udaljenost od centra (m),Mogući broj putnika po sobi,Cena prevoza po osobi (€),Tip destinacije
Makarska,40,800,3,80,Letovanje
Sarajevo,100,1500,2,120,Zimovanje
Sveti Stefan,15,300,6,40,Letovanje
Miami,60,2000,4,150,Letovanje
Bangkok,90,2500,3,100,Letovanje
Sydney,75,3500,2,130,Letovanje
Los Angeles,60,4000,5,200,Letovanje
Dubai,70,5000,4,180,Letovanje
Tokyo,33.33,6000,3,100,Letovanje
Reykjavik,110,7000,2,150,Zimovanje
Amsterdam,110,8000,1,80,Letovanje
Cape Town,76.67,9000,3,140,Letovanje
Rio de Janeiro,95,10000,2,120,Letovanje
New York City,42.5,11000,4,160,Letovanje
Santorini,66.67,12000,3,140,Letovanje
Mauritius,125,13000,2,180,Letovanje
Maldives,30,14000,5,100,Letovanje
Bora Bora,67.5,15000,4,200,Letovanje
Barcelona,60,16000,3,120,Letovanje
Lisbon,70,17000,2,90,Letovanje
Prague,160,18000,1,100,Letovanje
Berlin,40,19000,3,80,Zimovanje
Paris,45,20000,2,90,Letovanje
Rome,25,21000,4,60,Letovanje
London,43.33,22000,3,80,Letovanje
Istanbul,55,23000,2,70,Letovanje
Singapore,250,24000,1,150,Letovanje
Seoul,60,25000,3,120,Letovanje
Honolulu,150,26000,2,200,Letovanje
Shanghai,70,27000,4,140,Letovanje
Moscow,73.33,28000,3,150,Letovanje
Buenos Aires,42.5,29000,2,110,Letovanje
Cancun,26,30000,5,130,Letovanje
Marrakech,75,31000,4,180,Letovanje
Kyoto,76.67,32000,3,150,Letovanje
Cairo,105,33000,2,120,Letovanje
Havana,80,34000,1,80,Letovanje
Vienna,23.33,35000,3,70,Letovanje
Vancouver,150,36000,2,200,Zimovanje
Toronto,70,37000,4,180,Zimovanje
Budapest,43.33,38000,3,160,Letovanje
Edinburgh,70,39000,2,140,Letovanje
Auckland,24,40000,5,120,Letovanje
Bariloche,50,41000,4,100,Zimovanje
Cusco,60,42000,3,80,Zimovanje
Prague,160,43000,2,70,Letovanje
Krakow,60,44000,1,60,Letovanje
Bruges,50,45000,3,50,Letovanje
